[2026-09-03 19:20:37] OK | History saved: 2026-09-03 19:20:37<br>Download: 55.73 Mbps<br>Upload: 3.36 Mbps<br>CPU: 15 %<br>Memory: 18.044281005859 %<br>Disk: 19.219970703125 %
[2026-09-03 19:20:47] OK | History saved: 2026-09-03 19:20:47<br>Download: 55.77 Mbps<br>Upload: 2.48 Mbps<br>CPU: 20 %<br>Memory: 18.067932128906 %<br>Disk: 19.219970703125 %
[2026-09-03 19:20:42] FAILED | Router Offline
[2026-09-03 19:20:57] OK | History saved: 2026-09-03 19:20:58<br>Download: 58.73 Mbps<br>Upload: 3.41 Mbps<br>CPU: 20 %<br>Memory: 18.05419921875 %<br>Disk: 19.219970703125 %
[2026-09-03 19:21:08] OK | History saved: 2026-09-03 19:21:08<br>Download: 48.85 Mbps<br>Upload: 2.59 Mbps<br>CPU: 18 %<br>Memory: 18.011474609375 %<br>Disk: 19.219970703125 %
[2026-09-03 19:21:18] OK | History saved: 2026-09-03 19:21:18<br>Download: 85.45 Mbps<br>Upload: 3.53 Mbps<br>CPU: 21 %<br>Memory: 18.086242675781 %<br>Disk: 19.219970703125 %
[2026-09-03 19:21:07] FAILED | Router Offline
[2026-09-03 19:21:28] OK | History saved: 2026-09-03 19:21:28<br>Download: 46.76 Mbps<br>Upload: 2.58 Mbps<br>CPU: 16 %<br>Memory: 18.082427978516 %<br>Disk: 19.219970703125 %
[2026-09-03 19:21:38] OK | History saved: 2026-09-03 19:21:39<br>Download: 50.09 Mbps<br>Upload: 2.09 Mbps<br>CPU: 17 %<br>Memory: 18.082427978516 %<br>Disk: 19.219970703125 %
[2026-09-03 19:21:33] FAILED | Router Offline
[2026-09-03 19:21:49] OK | History saved: 2026-09-03 19:21:49<br>Download: 57.19 Mbps<br>Upload: 2.8 Mbps<br>CPU: 19 %<br>Memory: 18.082427978516 %<br>Disk: 19.219970703125 %
[2026-09-03 19:21:59] OK | History saved: 2026-09-03 19:21:59<br>Download: 27.5 Mbps<br>Upload: 0.99 Mbps<br>CPU: 13 %<br>Memory: 18.082427978516 %<br>Disk: 19.219970703125 %
[2026-09-03 19:22:09] OK | History saved: 2026-09-03 19:22:09<br>Download: 35.91 Mbps<br>Upload: 4.27 Mbps<br>CPU: 14 %<br>Memory: 18.106079101562 %<br>Disk: 19.219970703125 %
[2026-09-03 19:21:58] FAILED | Router Offline
[2026-09-03 19:22:19] OK | History saved: 2026-09-03 19:22:20<br>Download: 23.82 Mbps<br>Upload: 0.92 Mbps<br>CPU: 12 %<br>Memory: 18.058776855469 %<br>Disk: 19.219970703125 %
[2026-09-03 19:22:30] OK | History saved: 2026-09-03 19:22:30<br>Download: 37.42 Mbps<br>Upload: 1.74 Mbps<br>CPU: 14 %<br>Memory: 18.058013916016 %<br>Disk: 19.219970703125 %
[2026-09-03 19:22:23] FAILED | Router Offline
